"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","92846","test_find_doctor_excel[NEGATIVE-FakeSpec-99-Nowhere-FAIL]","tests","2026-05-22","passed","2026-05-22","","test_positivenegative","",""
"","95925","test_find_doctor_excel[NEGATIVE-Cardiology-1-InvalidCity-FAIL]","tests","2026-05-22","passed","2026-05-22","","test_positivenegative","",""
"","5212","Verify Homepage Loads Successfully","tests","2026-05-22","passed","2026-05-22","","test_e2e","",""
"","40443","Verify User Can Login Successfully","tests","2026-05-22","passed","2026-05-22","","test_e2e","",""
"","55830","Verify Full End-to-End Doctor Search & Appointment Flow","tests","2026-05-22","passed","2026-05-22","","test_e2e","",""
"","37987","test_find_doctor_excel[POSITIVE-ENT-22-Delhi-PASS]","tests","2026-05-22","passed","2026-05-22","","test_positivenegative","",""
"","38989","test_find_doctor_excel[POSITIVE-Neurology-30-Bangalore-PASS]","tests","2026-05-22","passed","2026-05-22","","test_positivenegative","",""
"","40728","test_find_doctor_excel[POSITIVE-Cardiology-25-Chennai-PASS]","tests","2026-05-22","passed","2026-05-22","","test_positivenegative","",""
"","68036","test_find_doctor_excel[POSITIVE-Dermatology-20-Jaipur-PASS]","tests","2026-05-22","passed","2026-05-22","","test_positivenegative","",""
"","63533","Verify Full End-to-End Doctor Search & Appointment Flow","tests","2026-05-22","passed","2026-05-22","","test_e2e","",""
